Title,Type,CriticScore,ReleaseYear,Director,ReleaseDate,Genre,Cast,Rating,Runtime,Summary,NumOfCriticReviews
Swiss Army Man,Movie,Mediocre,2016,Dan Kwan/Daniel Scheinert,"June 24, 2016",Musical,"['Daniel Radcliffe', 'Paul Dano']",R,97 min,,36
In Bruges,Movie,Mediocre,2008,Martin McDonagh,"February 8, 2008",Crime,"['Brendan Gleeson', 'Colin Farrell']",R,107 min,"Very much out of place amidst the gothic architecture, canals, and cobbled streets, the two hit men fill their days living the lives of tourists. Ray, still haunted by the bloodshed in London, hates the place, while Ken, even as he keeps a fatherly eye on Ray's often profanely funny exploits, finds his mind and soul being expanded by the beauty and serenity of the city. But the longer they stay waiting for Harry's call, the more surreal their experience becomes, as they find themselves in weird encounters with locals, tourists, violent medieval art, a dwarf American actor shooting a European art film, Dutch prostitutes, and a potential romance for Ray in the form of Chloe, who may have some dark secrets of her own.  And when the call from Harry does finally come, Ken and Ray's vacation becomes a life-and-death struggle of darkly comic proportions and surprisingly emotional consequences. [Focus Features]",34
The Royal Tenenbaums,Movie,Good,2001,Wes Anderson,"December 14, 2001",Comedy,"['Gene Hackman', 'Gwyneth Paltrow']",R,110 min,"Royal Tenenbaum (Gene Hackman) and his wife, Etheline (Anjelica Huston), had three children—Chas, Margot, and Richie—and then they separated. Chas (Ben Stiller) started buying real estate in his early teens and seemed to have an almost preternatural understanding of international finance. Margot (Gwyneth Paltrow) was a playwright and received a Braverman Grant of $50,000 in the ninth grade. Richie (Luke Wilson) was a junior champion tennis player and won the U.S. Nationals three years in a row. Virtually all memory of the brilliance of the young Tenenbaums was subsequently erased by two decades of betrayal, failure, and disaster. [Touchstone Pictures]]",34
The Squid and the Whale,Movie,Good,2005,Noah Baumbach,"October 5, 2005",Comedy,[],R,81 min,,37
Garden State,Movie,Mediocre,2004,Zach Braff,"July 28, 2004",Romance,"['Natalie Portman', 'Peter Sarsgaard', 'Zach Braff']",TV-MA,102 min,"Andrew Largeman (Braff) shuffled through life in a lithium-induced coma until his mother's death inspired a vacation from the pills to see what might happen. When he travels from L.A. back to his hometown, he meets Sam (Portman), a girl who is everything he isn't. Her warmth and fearlessness give him the courage to open his heart to the joy and pain of the infinite abyss that is life.  (Fox Searchlight Pictures)",37
Lost in Translation,Movie,Excellent,2003,Sofia Coppola,"September 12, 2003",Romance,"['Bill Murray', 'Giovanni Ribisi', 'Scarlett Johansson']",R,102 min,"Unable to sleep, Bob (Murray) and Charlotte (Johansson), two Americans in Tokyo, cross paths one night in the luxury hotel bar. This chance meeting soon becomes a surprising friendship. Charlotte and Bob venture through Tokyo, having often hilarious encounters with its citizens, and ultimately discover a new belief in life's possibilities. (Focus Features)",44
Her,Movie,Excellent,2013,Spike Jonze,"December 18, 2013",Romance,"['Amy Adams', 'Chris Pratt', 'Joaquin Phoenix', 'Olivia Wilde', 'Rooney Mara', 'Samantha Morton', 'Scarlett Johansson']",R,126 min,"Set in the Los Angeles of the slight future, Her follows Theodore Twombly, a complex, soulful man who makes his living writing touching, personal letters for other people. Heartbroken after the end of a long relationship, he becomes intrigued with a new, advanced operating system, which promises to be an intuitive entity in its own right, individual to each user. Upon initiating it, he is delighted to meet ""Samantha,"" a bright, female voice, who is insightful, sensitive and surprisingly funny. As her needs and desires grow, in tandem with his own, their friendship deepens into an eventual love for each other. [Warner Bros.]",47
Eternal Sunshine of the Spotless Mind,Movie,Good,2004,Michel Gondry,"March 19, 2004",Romance,"['Jim Carrey', 'Kate Winslet', 'Tom Wilkinson']",R,108 min,"Joel (Carrey) is stunned to discover that his girlfriend Clementine (Winslet) has had her memories of their tumultuous relationship erased.  Out of desperation, he contacts the inventor of the process, Dr. Howard Mierzwiak (Wilkinson), to have Clementine removed from his own memory.  But as Joel's memories progressively disappear, he begins to rediscover his love for Clementine.  (Focus Features)",41
Napoleon Dynamite,Movie,Mediocre,2004,Jared Hess,"June 11, 2004",Comedy,"['Efren Ramírez', 'Jon Gries', 'Jon Heder']",PG,82 min,,36
Call Me by Your Name,Movie,Excellent,2017,Luca Guadagnino,"November 24, 2017",Romance,"['Amira Casar', 'Antonio Rimoldi', 'Armie Hammer', 'Elena Bucci', 'Esther Garrel', 'Marco Sgrosso', 'Michael Stuhlbarg', 'Timothée Chalamet', 'Vanda Capriolo', 'Victoire Du Bois']",R,132 min,"It’s the summer of 1983 in the north of Italy, and Elio Perlman (Timothée Chalamet), a precocious 17- year-old American-Italian, spends his days in his family’s 17th century villa transcribing and playing classical music, reading, and flirting with his friend Marzia (Esther Garrel). Elio enjoys a close relationship with his father (Michael Stuhlbarg), an eminent professor specializing in Greco-Roman culture, and his mother Annella (Amira Casar), a translator, who favor him with the fruits of high culture in a setting that overflows with natural delights. While Elio’s sophistication and intellectual gifts suggest he is already a fully-fledged adult, there is much that yet remains innocent and unformed about him, particularly about matters of the heart. One day, Oliver (Armie Hammer), a charming American scholar working on his doctorate, arrives as the annual summer intern tasked with helping Elio’s father. Amid the sun-drenched splendor of the setting, Elio and Oliver discover the heady beauty of awakening desire over the course of a summer that will alter their lives forever.",53
The Darjeeling Limited,Movie,Mediocre,2007,Wes Anderson,"September 29, 2007",Comedy,"['Adrien Brody', 'Jason Schwartzman', 'Owen Wilson']",R,91 min,"Three American brothers who have not spoken to each other in a year set off on a train voyage across India with a plan to find themselves and bond with each other -- to become brothers again like they used to be. Their ""spiritual quest"", however, veers rapidly off-course (due to events involving over-the-counter pain killers, Indian cough syrup, and pepper spray), and they eventually find themselves stranded alone in the middle of the desert with eleven suitcases, a printer, and a laminating machine. At this moment, a new, unplanned journey suddenly begins.  (Fox Searchlight)",35
